Time: 2023/01/03 01:14:16, score: 0
Time: 2023/01/03 01:14:17, score: 0
Time: 2023/01/03 01:14:24, score: 0
Time: 2023/01/03 01:15:01, score: 3
Time: 2023/01/03 13:57:42, score: 0
Time: 2023/01/03 15:57:59, score: 1
Time: 2023/01/03 16:08:48, score: 0
Time: 2023/01/03 16:08:50, score: 0
Time: 2023/01/03 16:15:16, score: 0
Time: 2023/01/03 16:22:05, score: 1
Time: 2023/01/03 16:30:34, score: 0
Time: 2023/01/03 16:32:12, score: 0
Time: 2023/01/03 16:32:19, score: 0
Time: 2023/01/03 16:33:30, score: 0
Time: 2023/01/03 19:45:14, score: 0
Time: 2023/01/03 20:50:58, score: 2
Time: 2023/01/08 22:17:43, score: 3
Time: 2023/01/08 22:17:45, score: 3
Time: 2023/01/08 22:18:00, score: 0
Time: 2023/01/08 22:18:05, score: 0
Time: 2023/01/08 22:18:09, score: 0
Time: 2023/01/08 22:18:25, score: 0
Time: 2023/01/08 22:23:34, score: 0
Time: 2023/01/08 22:23:53, score: 0
Time: 2023/01/08 22:23:54, score: 0
Time: 2023/01/08 23:55:44, score: 0
Time: 2023/01/08 23:55:45, score: 0
Time: 2023/01/08 23:55:46, score: 0
Time: 2023/01/08 23:55:59, score: 0
Time: 2023/01/09 02:28:15, score: 6
Time: 2023/01/09 13:56:14, score: 2
Time: 2023/01/26 14:32:26, score: 33
